id,name,kind,fetcher,url,status,enabled_in_live_config,priority,coverage,requires_env,domain,owner_id,tags,notes
vk_don24,VK / ДОН 24,social,vk_api,https://vk.com/don24,stable,True,2,social_media,VK_API_TOKEN,,-110481995,"vk, media, api","Работает через VK API, автоматически подключается при наличии VK_API_TOKEN."
vk_news161ru,VK / 161.RU,social,vk_api,https://vk.com/news161ru,stable,True,2,social_media,VK_API_TOKEN,news161ru,,"vk, media, api","VK-лента регионального медиа, идёт через официальный wall.get."
vk_donday,VK / DonDay,social,vk_api,https://vk.com/donday,stable,True,3,social_media,VK_API_TOKEN,donday,,"vk, media, api",VK-поток по происшествиям и локальной социальной повестке.
vk_privet_rostov,VK / Privet-Rostov,social,vk_api,https://vk.com/privetrostov,stable,True,3,citizen_signal,VK_API_TOKEN,privetrostov,,"vk, community, api",Полезен для пользовательских сообщений и локальных жалоб.
vk_eto_rostov,VK / Это Ростов,social,vk_api,https://vk.com/etorostov,stable,True,3,citizen_signal,VK_API_TOKEN,,-36578247,"vk, community, api",Ещё один сильный citizen-signal для городской повестки.
vk_donlandru,VK / Правительство Ростовской области,official,vk_api,https://vk.com/donlandru,stable,True,2,official_signal,VK_API_TOKEN,,-187652793,"vk, official, api","Официальное региональное VK-сообщество, включается при наличии токена."
donnews_site,donnews.ru,media,html,https://www.donnews.ru/,candidate,False,2,regional_media,,,,"html, news","Сайт доступен, но нужно аккуратно подобрать article-links перед включением в live."
privet_rostov_site,Privet-Rostov.ru,media,html,https://privet-rostov.ru/,candidate,False,2,regional_media,,,,"html, news, city","Перспективный локальный сайт, пока держим как candidate."
rostovgazeta_site,RostovGazeta,media,html,https://rostovgazeta.ru/,candidate,False,2,regional_media,,,,"html, news, business",Подходит для расширения деловой и общественной повестки.
kp_rostov_site,Комсомольская правда / Ростов,media,html,https://www.rostov.kp.ru/,candidate,False,3,regional_media,,,,"html, news, federal-regional","Широкая региональная лента, но нужна точная фильтрация article-links."
one_rnd_site,1Rnd,media,html,https://www.1rnd.ru/news/,candidate,False,3,regional_media,,,,"html, news, city",Локальное медиа для городской повестки и сервисных тем.
nvgazeta_site,Наше время,media,html,https://www.nvgazeta.ru/news/,candidate,False,3,regional_media,,,,"html, news, regional","Дополнительное локальное издание, пригодно для расширения охвата."
rostov_city_news_site,Сайт администрации Ростова-на-Дону / новости,official,html,https://rostov-gorod.ru/press_room/news/,candidate,False,2,official_signal,,,,"html, official, city","Важно иметь в каталоге, но подключать в live только после стабилизации доступа."
vk_rostovgazeta,VK / RostovGazeta,social,vk_api,https://vk.com/rostovgazeta,candidate,False,3,social_media,VK_API_TOKEN,,-118316415,"vk, media, api",Можно быстро включить после ручной проверки качества постов.
vk_rostov_city,VK / Ростов-на-Дону город,official,vk_api,https://vk.com/rostovnadonugorod,candidate,False,2,official_signal,VK_API_TOKEN,,-148926879,"vk, official, city, api",Городское сообщество; держим в candidate до проверки шума и дублирования.
vk_rostov_city_official,VK / Ростов-на-Дону official,official,vk_api,https://vk.com/rostovnadonu.official,candidate,False,2,official_signal,VK_API_TOKEN,,-174906521,"vk, official, city, api",Второй официальный VK-контур города; можно включать после ручной ревизии.
citizen_portals_manual,Порталы обращений граждан / выгрузка,citizen_portal,manual_import,manual://citizen-portals,candidate,False,2,citizen_signal,,,,"manual, appeals, portal",Поддерживается через CSV/JSON import adapter.
vk_exports_manual,VK / ручные выгрузки пабликов,social,manual_import,manual://vk-public-exports,candidate,False,1,social_media,,,,"manual, vk, export","Фолбэк для случаев, когда токен не готов или нужна историческая догрузка."
max_public_chats_manual,MAX / публичные районные чаты,social,manual_import,manual://max-public-groups,candidate,False,3,citizen_signal,,,,"manual, max, community","Для хакатона держим MAX как manual import, пока не подтверждён устойчивый публичный контент-API."
municipal_hotlines_manual,Муниципальные горячие линии / Excel-выгрузка,citizen_portal,manual_import,manual://municipal-hotlines,candidate,False,3,citizen_signal,,,,"manual, excel, hotline",Удобная точка для быстрой догрузки жалоб из ручных таблиц.
municipal_open_data_manual,Муниципальный open data / JSON-выгрузка,official,manual_import,manual://municipal-open-data,candidate,False,3,official_signal,,,,"manual, open-data, json",Можно быстро докидывать подготовленные JSON-срезы без отдельного парсера.
donland_news_site,donland.ru / новости,official,html,https://donland.ru/news/,blocked,False,4,official_signal,,,,"html, official, regional","Сейчас отдаёт 403, нужен обход или альтернативный публичный канал."
panram_site,Panram,media,html,https://www.panram.ru/,blocked,False,4,regional_media,,,,"html, anti-ddos",Упирается в anti-DDoS страницу и пока не подходит для хакатонного live-ingest.
mchs_61_site,61.mchs.gov.ru / новости,official,html,https://61.mchs.gov.ru/deyatelnost/press-centr/novosti,blocked,False,4,emergency_signal,,,,"html, official, timeout","Источник полезный, но сейчас нестабилен по времени ответа."
telegram_chp_rostov,Telegram / ЧП Ростов,social,telegram,https://t.me/s/chp_rostov,blocked,False,4,citizen_signal,,,,"telegram, redirect",Публичная web-лента сейчас не отдаётся стабильно в формате /s/.
